[0, 67.497, 1, [52.647909, 39.6608838], [52.6483926, 39.6614885]],
[1, 90.116, 1, [52.6556137, 39.6949394], [52.6556716, 39.696272]],
[2, 66.12, 1, [52.6556137, 39.6949394], [52.6550544, 39.6946067]],
[3, 33.977, 1, [52.6556137, 39.6949394], [52.6559117, 39.6950506]],
[4, 228.61499999999998, 1, [52.5961011, 39.6025277], [52.5967184, 39.6057557]],
[5, 359.012, 1, [52.5961011, 39.6025277], [52.5954258, 39.597386]],
[6, 14.39, 1, [52.5903665, 39.5574189], [52.5902669, 39.5575549]],
[7, 42.336, 1, [52.5903665, 39.5574189], [52.5906434, 39.5569888]],
[8, 37.333, 1, [52.5903665, 39.5574189], [52.5901636, 39.5569787]],
[9, 360.91799999999995, 1, [52.5868109, 39.5499473], [52.5848458, 39.5456956]],
[10, 129.046, 1, [52.5868109, 39.5499473], [52.5873453, 39.5516406]],
[11, 59.888, 1, [52.5855021, 39.6342684], [52.5860047, 39.634587]],
[12, 67.539, 1, [52.5855021, 39.6342684], [52.5849368, 39.6341119]],
[13, 369.699, 1, [52.5855021, 39.6342684], [52.5840521, 39.6391887]],
[14, 1023.367, 1, [52.5855021, 39.6342684], [52.5891406, 39.6203545]],
[15, 81.87599999999999, 1, [52.5986033, 39.6059109], [52.5983639, 39.6048433]],
[16, 182.06, 1, [52.5986033, 39.6059109], [52.5992952, 39.6067835]],
[17, 161.025, 1, [52.5994023, 39.6070438], [52.6006368, 39.6057974]],
[18, 168.535, 1, [52.5994023, 39.6070438], [52.5998706, 39.6084434]],
[19, 95.306, 1, [52.5983639, 39.6048433], [52.5975493, 39.6044045]],
[20, 120.454, 1, [52.5969365, 39.6068149], [52.5973715, 39.6084471]],
[21, 118.66399999999999, 1, [52.5969365, 39.6068149], [52.5978083, 39.6070557]],
[22, 117.457, 1, [52.5978083, 39.6070557], [52.5986033, 39.6059109]],
[23, 21.602, 1, [52.6021575, 39.6043896], [52.601988, 39.6045459]],
[24, 174.112, 1, [52.6021575, 39.6043896], [52.6034976, 39.6030568]],
[25, 8.891, 1, [52.6189416, 39.548217], [52.6189976, 39.548123]],
[26, 142.57999999999998, 1, [52.6189416, 39.548217], [52.6197087, 39.5498989]],
[27, 720.358, 1, [52.6189416, 39.548217], [52.6134571, 39.5538625]],
[28, 35.58, 1, [52.6131624, 39.5541646], [52.6128903, 39.5544419]],
[29, 38.599, 1, [52.6131624, 39.5541646], [52.6134571, 39.5538625]],
[30, 27.009999999999998, 1, [52.6131624, 39.5541646], [52.6133121, 39.5544796]],
[31, 95.263, 1, [52.6131624, 39.5541646], [52.6126029, 39.5530961]],
[32, 86.408, 1, [52.6039339, 39.575396], [52.6040206, 39.5741445]],
[33, 47.079, 1, [52.6173409, 39.5969372], [52.6173683, 39.5976331]],
[34, 36.507999999999996, 1, [52.6173409, 39.5969372], [52.6170866, 39.5972294]],
